household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,lowest_quintile,1991,4600,1600,1000,300,1700
all_households,lowest_quintile,1992,4400,1700,1000,300,1400
all_households,lowest_quintile,1993,4700,1800,1000,300,1600
all_households,lowest_quintile,1994,4800,1800,1000,400,1500
all_households,lowest_quintile,1995,4500,1800,1000,400,1300
all_households,lowest_quintile,1996,4200,1700,900,400,1100
all_households,lowest_quintile,1997,3500,1700,600,400,900
all_households,lowest_quintile,1998,3900,2000,600,400,900
all_households,lowest_quintile,1999,3800,2200,500,300,800
all_households,lowest_quintile,2000,3800,2300,400,300,700
all_households,lowest_quintile,2001,4200,2600,500,300,800
all_households,lowest_quintile,2002,4200,2700,500,300,700
all_households,lowest_quintile,2003,4500,2900,600,300,700
all_households,lowest_quintile,2004,4500,3000,700,300,600
all_households,lowest_quintile,2005,4800,3000,800,300,700
all_households,lowest_quintile,2006,5100,3200,800,300,700
all_households,lowest_quintile,2007,5000,3200,800,300,700
all_households,lowest_quintile,2008,5200,3300,800,300,700
all_households,lowest_quintile,2009,5700,3400,1200,300,800
all_households,lowest_quintile,2010,5800,3400,1300,300,700
all_households,lowest_quintile,2011,6000,3400,1500,300,800
all_households,lowest_quintile,2012,6300,3700,1600,300,800
all_households,lowest_quintile,2013,6300,3800,1500,300,800
all_households,lowest_quintile,2014,6800,4400,1300,300,800
all_households,lowest_quintile,2015,7200,4800,1300,300,900
all_households,lowest_quintile,2016,7200,4900,1200,300,900
all_households,lowest_quintile,2017,7300,5000,1200,200,900
all_households,lowest_quintile,2018,7600,5400,1000,300,900
all_households,lowest_quintile,2019,7700,5600,900,300,900
all_households,lowest_quintile,2020,10300,5600,1300,300,3200
all_households,lowest_quintile,2021,9400,5500,1400,200,2300
all_households,second_quintile,1979,2500,700,400,400,1000
all_households,second_quintile,1980,2800,800,400,500,1100
all_households,second_quintile,1981,2800,800,400,400,1100
all_households,second_quintile,1982,2900,900,400,500,1200
all_households,second_quintile,1983,3000,900,400,500,1200
all_households,second_quintile,1984,3000,900,400,500,1200
all_households,second_quintile,1985,3000,1000,400,500,1200
all_households,second_quintile,1986,3100,1000,400,500,1200
all_households,second_quintile,1987,2800,1000,300,500,1000
all_households,second_quintile,1988,2900,1100,300,600,1000
all_households,second_quintile,1989,3200,1200,300,600,1100
all_households,second_quintile,1990,3600,1400,400,600,1200
all_households,second_quintile,1991,4000,1600,500,600,1300
all_households,second_quintile,1992,4500,1800,600,600,1400
all_households,second_quintile,1993,4800,2000,600,700,1500
all_households,second_quintile,1994,4700,1900,600,700,1500
all_households,second_quintile,1995,4700,2100,600,700,1400
all_households,second_quintile,1996,4900,2100,600,700,1400
all_households,second_quintile,1997,5000,2300,500,700,1400
all_households,second_quintile,1998,5100,2600,500,800,1300
all_households,second_quintile,1999,5200,2800,400,800,1200
all_households,second_quintile,2000,5300,3000,400,700,1200
all_households,second_quintile,2001,5600,3400,400,800,1100
all_households,second_quintile,2002,5800,3600,400,700,1100
all_households,second_quintile,2003,5900,3700,500,700,1100
all_households,second_quintile,2004,6100,3900,500,600,1100
all_households,second_quintile,2005,6600,4200,600,700,1100
all_households,second_quintile,2006,6300,3900,600,700,1200
all_households,second_quintile,2007,6500,4000,600,700,1200
all_households,second_quintile,2008,6800,4200,700,700,1200
all_households,second_quintile,2009,7300,4400,1000,700,1200
all_households,second_quintile,2010,7700,4600,1100,700,1300
all_households,second_quintile,2011,8100,4900,1200,700,1300
all_households,second_quintile,2012,7900,4900,1100,700,1200
all_households,second_quintile,2013,8300,5300,1100,800,1200
all_households,second_quintile,2014,8600,5700,1000,700,1200
all_households,second_quintile,2015,9500,6500,1000,700,1300
all_households,second_quintile,2016,9200,6400,800,700,1300
all_households,second_quintile,2017,9100,6400,800,700,1200
all_households,second_quintile,2018,9800,7200,800,700,1200
all_households,second_quintile,2019,9500,7100,600,700,1100
all_households,second_quintile,2020,13400,7300,1000,600,4400
all_households,second_quintile,2021,13000,8000,1400,600,3000
all_households,middle_quintile,1979,1000,300,100,200,300
all_households,middle_quintile,1980,1100,300,100,300,400
all_households,middle_quintile,1981,1100,400,100,200,400
all_households,middle_quintile,1982,1000,300,100,300,300
all_households,middle_quintile,1983,1100,400,100,300,400
all_households,middle_quintile,1984,1100,400,100,300,400
all_households,middle_quintile,1985,1100,400,100,300,400
all_households,middle_quintile,1986,1100,400,100,300,300
all_households,middle_quintile,1987,1100,400,100,300,300
all_households,middle_quintile,1988,1300,500,100,300,400
all_households,middle_quintile,1989,1400,600,100,400,400
all_households,middle_quintile,1990,1800,800,100,400,500
all_households,middle_quintile,1991,2100,1000,200,500,500
all_households,middle_quintile,1992,2700,1200,200,600,700
all_households,middle_quintile,1993,3000,1400,200,600,700
all_households,middle_quintile,1994,3100,1500,200,600,800
all_households,middle_quintile,1995,3400,1600,200,700,900
all_households,middle_quintile,1996,3200,1500,200,600,800
all_households,middle_quintile,1997,3200,1600,200,600,700
all_households,middle_quintile,1998,3300,1900,200,600,600
all_households,middle_quintile,1999,3400,2000,200,600,600
all_households,middle_quintile,2000,3700,2300,200,600,600
all_households,middle_quintile,2001,3800,2400,100,700,600
all_households,middle_quintile,2002,4500,2900,200,700,700
all_households,middle_quintile,2003,5000,3200,200,800,700
all_households,middle_quintile,2004,5400,3600,300,700,800
all_households,middle_quintile,2005,4900,3300,300,600,700
all_households,middle_quintile,2006,4600,2800,200,600,900
all_households,middle_quintile,2007,4600,2900,200,600,800
all_households,middle_quintile,2008,5000,3200,300,600,800
all_households,middle_quintile,2009,5900,3700,500,800,1000
all_households,middle_quintile,2010,6100,3800,600,800,1000
all_households,middle_quintile,2011,6500,4100,600,800,1000
all_households,middle_quintile,2012,6500,4200,600,800,900
all_households,middle_quintile,2013,6700,4300,600,800,900
all_households,middle_quintile,2014,7400,5000,500,900,1000
all_households,middle_quintile,2015,7700,5400,500,800,1000
all_households,middle_quintile,2016,8000,5600,500,800,1100
all_households,middle_quintile,2017,8000,5700,500,800,1100
all_households,middle_quintile,2018,7800,5700,400,700,900
all_households,middle_quintile,2019,8100,6000,400,700,1000
all_households,middle_quintile,2020,11800,6100,600,600,4400
all_households,middle_quintile,2021,11300,6800,900,700,3000
all_households,fourth_quintile,1979,500,200,0,100,200
all_households,fourth_quintile,1980,500,200,0,100,200
all_households,fourth_quintile,1981,500,200,100,100,100
all_households,fourth_quintile,1982,400,100,0,100,100
all_households,fourth_quintile,1983,400,100,0,100,100
all_households,fourth_quintile,1984,400,100,0,100,100
all_households,fourth_quintile,1985,400,100,0,100,100
all_households,fourth_quintile,1986,400,200,0,100,100
all_households,fourth_quintile,1987,400,200,0,100,100
all_households,fourth_quintile,1988,500,200,0,100,100
all_households,fourth_quintile,1989,500,200,0,200,100
all_households,fourth_quintile,1990,600,300,0,200,100
all_households,fourth_quintile,1991,800,400,0,200,100
all_households,fourth_quintile,1992,1000,500,100,300,200
all_households,fourth_quintile,1993,1100,600,100,300,200
all_households,fourth_quintile,1994,1200,700,100,300,200
all_households,fourth_quintile,1995,1400,700,100,300,300
all_households,fourth_quintile,1996,1300,700,100,300,200
all_households,fourth_quintile,1997,1300,800,100,300,200
all_households,fourth_quintile,1998,1400,900,0,300,200
all_households,fourth_quintile,1999,1500,1000,0,300,100
all_households,fourth_quintile,2000,1600,1100,0,300,100
all_households,fourth_quintile,2001,1600,1100,0,300,100
all_households,fourth_quintile,2002,2000,1400,100,300,200
all_households,fourth_quintile,2003,2200,1600,100,300,200
all_households,fourth_quintile,2004,2500,1800,100,400,200
all_households,fourth_quintile,2005,2300,1700,100,400,200
all_households,fourth_quintile,2006,2300,1500,100,300,300
all_households,fourth_quintile,2007,2400,1700,100,400,300
all_households,fourth_quintile,2008,2500,1700,100,400,300
all_households,fourth_quintile,2009,3200,2200,200,500,400
all_households,fourth_quintile,2010,3300,2200,200,500,500
all_households,fourth_quintile,2011,3400,2300,200,400,400
all_households,fourth_quintile,2012,3300,2300,200,500,400
all_households,fourth_quintile,2013,3300,2300,200,400,400
all_households,fourth_quintile,2014,3900,2800,200,500,400
all_households,fourth_quintile,2015,4400,3200,200,500,500
all_households,fourth_quintile,2016,4700,3500,200,500,500
all_households,fourth_quintile,2017,4600,3400,200,500,500
all_households,fourth_quintile,2018,4200,3200,200,400,400
all_households,fourth_quintile,2019,4500,3500,200,400,400
all_households,fourth_quintile,2020,8800,4100,300,500,3900
all_households,fourth_quintile,2021,7700,4600,500,400,2200
all_households,highest_quintile,1979,300,100,0,100,100
all_households,highest_quintile,1980,200,100,0,100,100
all_households,highest_quintile,1981,200,100,0,100,100
all_households,highest_quintile,1982,200,100,0,100,0
all_households,highest_quintile,1983,200,100,0,100,100
all_households,highest_quintile,1984,200,100,0,100,100
all_households,highest_quintile,1985,200,100,0,100,100
all_households,highest_quintile,1986,200,100,0,100,100
all_households,highest_quintile,1987,200,100,0,100,100
all_households,highest_quintile,1988,300,100,0,100,100
all_households,highest_quintile,1989,300,100,0,100,100
all_households,highest_quintile,1990,400,200,0,100,100
all_households,highest_quintile,1991,400,200,0,100,100
all_households,highest_quintile,1992,500,300,0,100,100
all_households,highest_quintile,1993,600,300,0,200,100
all_households,highest_quintile,1994,600,400,0,100,100
all_households,highest_quintile,1995,600,400,0,100,100
all_households,highest_quintile,1996,600,400,0,100,100
all_households,highest_quintile,1997,500,400,0,100,0
all_households,highest_quintile,1998,600,400,0,100,0
all_households,highest_quintile,1999,600,400,0,100,0
all_households,highest_quintile,2000,700,500,0,100,0
all_households,highest_quintile,2001,700,500,0,100,100
all_households,highest_quintile,2002,800,600,0,100,100
all_households,highest_quintile,2003,1000,700,0,100,100
all_households,highest_quintile,2004,1000,700,0,200,100
all_households,highest_quintile,2005,1000,700,0,200,100
all_households,highest_quintile,2006,1000,700,0,200,100
all_households,highest_quintile,2007,1100,800,0,200,100
all_households,highest_quintile,2008,1000,800,0,200,100
all_households,highest_quintile,2009,1300,1000,0,200,100
all_households,highest_quintile,2010,1300,900,100,200,100
all_households,highest_quintile,2011,1300,900,0,200,100
all_households,highest_quintile,2012,1300,1000,0,200,100
all_households,highest_quintile,2013,1200,900,0,100,100
all_households,highest_quintile,2014,1500,1200,100,100,100
all_households,highest_quintile,2015,1800,1400,100,200,200
all_households,highest_quintile,2016,2100,1600,100,200,200
all_households,highest_quintile,2017,2000,1600,100,200,200
all_households,highest_quintile,2018,1600,1300,100,100,100
all_households,highest_quintile,2019,2000,1600,100,200,200
all_households,highest_quintile,2020,5100,2100,100,200,2600
all_households,highest_quintile,2021,3600,2000,200,200,1200
all_households,percentiles_81_90,1979,300,100,0,100,100
all_households,percentiles_81_90,1980,300,100,0,100,100
all_households,percentiles_81_90,1981,300,100,0,100,100
all_households,percentiles_81_90,1982,200,100,0,100,0
all_households,percentiles_81_90,1983,200,100,0,100,100
all_households,percentiles_81_90,1984,200,100,0,100,100
all_households,percentiles_81_90,1985,200,100,0,100,100
all_households,percentiles_81_90,1986,300,100,0,100,100
all_households,percentiles_81_90,1987,200,100,0,100,100
all_households,percentiles_81_90,1988,300,100,0,100,100
all_households,percentiles_81_90,1989,300,200,0,100,100
all_households,percentiles_81_90,1990,400,200,0,100,100
all_households,percentiles_81_90,1991,400,200,0,100,100
all_households,percentiles_81_90,1992,600,300,0,200,100
all_households,percentiles_81_90,1993,800,400,0,200,100
all_households,percentiles_81_90,1994,700,400,0,200,100
all_households,percentiles_81_90,1995,700,400,0,100,100
all_households,percentiles_81_90,1996,700,400,0,200,100
all_households,percentiles_81_90,1997,700,500,0,200,0
all_households,percentiles_81_90,1998,700,500,0,100,0
all_households,percentiles_81_90,1999,700,500,0,200,0
all_households,percentiles_81_90,2000,800,600,0,200,100
all_households,percentiles_81_90,2001,900,600,0,100,100
all_households,percentiles_81_90,2002,1100,800,0,200,100
all_households,percentiles_81_90,2003,1200,900,0,200,100
all_households,percentiles_81_90,2004,1300,1000,0,200,100
all_households,percentiles_81_90,2005,1200,900,0,200,100
all_households,percentiles_81_90,2006,1300,900,0,200,100
all_households,percentiles_81_90,2007,1400,1000,0,200,100
all_households,percentiles_81_90,2008,1300,900,0,200,100
all_households,percentiles_81_90,2009,1700,1200,100,200,200
all_households,percentiles_81_90,2010,1600,1100,100,200,200
all_households,percentiles_81_90,2011,1600,1200,100,200,100
all_households,percentiles_81_90,2012,1700,1200,100,200,100
all_households,percentiles_81_90,2013,1500,1100,100,200,100
all_households,percentiles_81_90,2014,1900,1500,100,200,200
all_households,percentiles_81_90,2015,2300,1800,100,200,200
all_households,percentiles_81_90,2016,2600,2000,100,200,300
all_households,percentiles_81_90,2017,2500,2000,100,200,200
all_households,percentiles_81_90,2018,2000,1600,100,200,200
all_households,percentiles_81_90,2019,2500,2000,100,200,200
all_households,percentiles_81_90,2020,6500,2800,200,300,3200
all_households,percentiles_81_90,2021,4400,2500,200,200,1500
all_households,percentiles_91_95,1979,200,100,0,100,100
all_households,percentiles_91_95,1980,200,100,0,100,100
all_households,percentiles_91_95,1981,200,100,0,100,0
all_households,percentiles_91_95,1982,200,100,0,100,0
all_households,percentiles_91_95,1983,100,100,0,0,0
all_households,percentiles_91_95,1984,200,100,0,100,0
all_households,percentiles_91_95,1985,200,100,0,100,0
all_households,percentiles_91_95,1986,200,100,0,100,100
all_households,percentiles_91_95,1987,200,100,0,0,0
all_households,percentiles_91_95,1988,200,100,0,0,100
all_households,percentiles_91_95,1989,200,100,0,100,100
all_households,percentiles_91_95,1990,400,200,0,100,100
all_households,percentiles_91_95,1991,400,200,0,100,100
all_households,percentiles_91_95,1992,600,300,0,100,100
all_households,percentiles_91_95,1993,400,200,0,100,0
all_households,percentiles_91_95,1994,600,300,0,100,100
all_households,percentiles_91_95,1995,500,300,0,100,100
all_households,percentiles_91_95,1996,600,400,0,100,100
all_households,percentiles_91_95,1997,500,300,0,100,0
all_households,percentiles_91_95,1998,500,400,0,100,0
all_households,percentiles_91_95,1999,500,300,0,100,0
all_households,percentiles_91_95,2000,600,400,0,100,0
all_households,percentiles_91_95,2001,600,500,0,100,0
all_households,percentiles_91_95,2002,700,600,0,100,0
all_households,percentiles_91_95,2003,900,700,0,100,0
all_households,percentiles_91_95,2004,700,500,0,100,0
all_households,percentiles_91_95,2005,900,700,0,100,0
all_households,percentiles_91_95,2006,900,600,0,100,100
all_households,percentiles_91_95,2007,1000,700,0,100,100
all_households,percentiles_91_95,2008,900,700,0,100,100
all_households,percentiles_91_95,2009,1100,800,0,100,100
all_households,percentiles_91_95,2010,1300,900,100,200,100
all_households,percentiles_91_95,2011,1000,800,0,100,100
all_households,percentiles_91_95,2012,1100,800,0,100,100
all_households,percentiles_91_95,2013,1000,800,0,100,100
all_households,percentiles_91_95,2014,1300,1000,100,100,100
all_households,percentiles_91_95,2015,1600,1200,100,100,100
all_households,percentiles_91_95,2016,1800,1400,100,100,200
all_households,percentiles_91_95,2017,1500,1300,0,100,100
all_households,percentiles_91_95,2018,1200,1000,0,100,100
all_households,percentiles_91_95,2019,1800,1400,100,200,200
all_households,percentiles_91_95,2020,4300,1600,100,200,2300
all_households,percentiles_91_95,2021,3300,1800,200,200,1200
all_households,percentiles_96_99,1979,200,100,0,0,100
all_households,percentiles_96_99,1980,200,0,0,100,100
all_households,percentiles_96_99,1981,200,100,0,100,100
all_households,percentiles_96_99,1982,200,100,0,0,0
all_households,percentiles_96_99,1983,200,0,0,100,0
all_households,percentiles_96_99,1984,200,0,0,100,0
all_households,percentiles_96_99,1985,200,100,0,0,100
all_households,percentiles_96_99,1986,200,100,0,0,100
all_households,percentiles_96_99,1987,200,100,0,100,100
all_households,percentiles_96_99,1988,300,100,0,0,200
all_households,percentiles_96_99,1989,200,100,0,100,100
all_households,percentiles_96_99,1990,300,100,0,100,100
all_households,percentiles_96_99,1991,300,100,0,100,100
all_households,percentiles_96_99,1992,300,200,0,100,0
all_households,percentiles_96_99,1993,300,100,0,100,100
all_households,percentiles_96_99,1994,500,300,0,100,100
all_households,percentiles_96_99,1995,400,300,0,100,100
all_households,percentiles_96_99,1996,400,300,0,100,100
all_households,percentiles_96_99,1997,400,300,0,100,0
all_households,percentiles_96_99,1998,500,300,0,100,0
all_households,percentiles_96_99,1999,400,300,0,100,0
all_households,percentiles_96_99,2000,400,300,0,100,0
all_households,percentiles_96_99,2001,600,400,0,100,0
all_households,percentiles_96_99,2002,500,300,0,100,0
all_households,percentiles_96_99,2003,600,500,0,100,0
all_households,percentiles_96_99,2004,600,500,0,100,0
all_households,percentiles_96_99,2005,700,500,0,100,0
all_households,percentiles_96_99,2006,600,500,0,100,100
all_households,percentiles_96_99,2007,800,600,0,100,100
all_households,percentiles_96_99,2008,700,600,0,100,100
all_households,percentiles_96_99,2009,800,600,0,100,100
all_households,percentiles_96_99,2010,700,500,0,100,100
all_households,percentiles_96_99,2011,800,600,0,100,100
all_households,percentiles_96_99,2012,700,500,0,100,100
all_households,percentiles_96_99,2013,700,600,0,100,100
all_households,percentiles_96_99,2014,900,700,0,100,100
all_households,percentiles_96_99,2015,1200,900,0,100,100
all_households,percentiles_96_99,2016,1300,1100,0,100,100
all_households,percentiles_96_99,2017,1200,1000,0,100,100
all_households,percentiles_96_99,2018,1000,800,0,100,100
all_households,percentiles_96_99,2019,1200,1000,0,100,100
all_households,percentiles_96_99,2020,3400,1400,100,100,1800
all_households,percentiles_96_99,2021,2200,1200,100,100,800
all_households,top_1_percent,1979,200,100,0,0,100
all_households,top_1_percent,1980,200,100,0,100,100
all_households,top_1_percent,1981,300,100,0,0,100
all_households,top_1_percent,1982,200,100,0,0,100
all_households,top_1_percent,1983,200,100,0,0,100
all_households,top_1_percent,1984,300,100,0,100,100
all_households,top_1_percent,1985,300,100,0,0,100
all_households,top_1_percent,1986,200,100,0,0,100
all_households,top_1_percent,1987,300,100,0,100,100
all_households,top_1_percent,1988,200,100,0,0,100
all_households,top_1_percent,1989,300,100,0,100,100
all_households,top_1_percent,1990,300,100,0,100,100
all_households,top_1_percent,1991,400,200,0,100,100
all_households,top_1_percent,1992,200,100,0,100,0
all_households,top_1_percent,1993,400,200,0,100,100
all_households,top_1_percent,1994,400,200,0,100,100
all_households,top_1_percent,1995,500,300,0,100,100
all_households,top_1_percent,1996,300,200,0,0,0
all_households,top_1_percent,1997,200,200,0,0,0
all_households,top_1_percent,1998,400,200,0,100,100
all_households,top_1_percent,1999,300,200,0,100,0
all_households,top_1_percent,2000,400,300,0,100,0
all_households,top_1_percent,2001,500,300,0,100,0
all_households,top_1_percent,2002,600,400,0,100,100
all_households,top_1_percent,2003,500,300,0,100,100
all_households,top_1_percent,2004,500,400,0,0,100
all_households,top_1_percent,2005,500,400,0,100,100
all_households,top_1_percent,2006,600,400,0,100,100
all_households,top_1_percent,2007,600,400,0,100,100
all_households,top_1_percent,2008,700,500,0,100,100
all_households,top_1_percent,2009,800,600,0,100,100
all_households,top_1_percent,2010,900,700,0,100,100
all_households,top_1_percent,2011,1000,700,0,100,100
all_households,top_1_percent,2012,800,600,0,200,100
all_households,top_1_percent,2013,800,700,0,0,100
all_households,top_1_percent,2014,1200,900,100,100,100
all_households,top_1_percent,2015,1000,800,0,100,100
all_households,top_1_percent,2016,1500,1200,0,100,100
all_households,top_1_percent,2017,1700,1400,100,100,100
all_households,top_1_percent,2018,1500,1300,0,100,100
all_households,top_1_percent,2019,1000,800,0,100,100
all_households,top_1_percent,2020,2800,1200,0,100,1400
all_households,top_1_percent,2021,2000,1100,100,100,700
hh_with_children,all_quintiles,1979,2700,700,500,200,1200
hh_with_children,all_quintiles,1980,2800,700,600,200,1300
hh_with_children,all_quintiles,1981,2800,700,700,200,1300
hh_with_children,all_quintiles,1982,2800,700,600,200,1300
hh_with_children,all_quintiles,1983,2800,700,600,200,1300
hh_with_children,all_quintiles,1984,2800,700,600,200,1300
hh_with_children,all_quintiles,1985,2900,800,500,200,1400
hh_with_children,all_quintiles,1986,2900,800,500,200,1400
hh_with_children,all_quintiles,1987,3000,900,500,200,1300
hh_with_children,all_quintiles,1988,3000,900,500,200,1300
hh_with_children,all_quintiles,1989,3200,1100,500,200,1300
hh_with_children,all_quintiles,1990,3600,1300,600,300,1400
hh_with_children,all_quintiles,1991,4000,1500,700,300,1500
hh_with_children,all_quintiles,1992,4400,1800,800,400,1500
hh_with_children,all_quintiles,1993,4700,1900,800,400,1600
hh_with_children,all_quintiles,1994,4700,1900,800,500,1600
hh_with_children,all_quintiles,1995,4800,2000,800,500,1500
hh_with_children,all_quintiles,1996,4500,1900,700,500,1400
hh_with_children,all_quintiles,1997,4100,1900,600,500,1200
hh_with_children,all_quintiles,1998,4300,2200,500,500,1100
hh_with_children,all_quintiles,1999,4300,2400,500,400,1000
hh_with_children,all_quintiles,2000,4400,2700,400,400,900
hh_with_children,all_quintiles,2001,4700,2900,500,400,900
hh_with_children,all_quintiles,2002,5200,3300,500,400,900
hh_with_children,all_quintiles,2003,5600,3600,600,400,900
hh_with_children,all_quintiles,2004,5900,3900,600,400,900
hh_with_children,all_quintiles,2005,5900,3900,700,500,900
hh_with_children,all_quintiles,2006,5900,3800,700,400,900
hh_with_children,all_quintiles,2007,6200,4000,700,500,900
hh_with_children,all_quintiles,2008,6600,4300,800,500,1000
hh_with_children,all_quintiles,2009,7500,4700,1200,500,1000
hh_with_children,all_quintiles,2010,8000,4900,1400,500,1100
hh_with_children,all_quintiles,2011,8100,5000,1500,500,1100
hh_with_children,all_quintiles,2012,8100,5200,1400,500,1000
hh_with_children,all_quintiles,2013,8400,5500,1400,500,1000
hh_with_children,all_quintiles,2014,8900,6100,1300,500,1100
hh_with_children,all_quintiles,2015,9800,7000,1300,500,1100
hh_with_children,all_quintiles,2016,9900,7200,1200,500,1100
hh_with_children,all_quintiles,2017,9800,7100,1100,500,1000
hh_with_children,all_quintiles,2018,9800,7300,1000,500,1000
hh_with_children,all_quintiles,2019,10100,7700,900,500,1000
hh_with_children,all_quintiles,2020,15000,8200,1300,500,4900
hh_with_children,all_quintiles,2021,13900,8600,1700,500,3100
hh_with_children,lowest_quintile,1979,6600,1700,1600,200,3100
hh_with_children,lowest_quintile,1980,6200,1500,1600,200,2900
hh_with_children,lowest_quintile,1981,6400,1500,1800,200,2900
hh_with_children,lowest_quintile,1982,6400,1600,1600,200,3000
hh_with_children,lowest_quintile,1983,6600,1600,1700,200,3100
hh_with_children,lowest_quintile,1984,6200,1500,1400,300,3000
hh_with_children,lowest_quintile,1985,6600,1700,1400,300,3200
hh_with_children,lowest_quintile,1986,6700,1800,1400,200,3200
hh_with_children,lowest_quintile,1987,7400,2100,1500,300,3500
hh_with_children,lowest_quintile,1988,7100,2100,1500,300,3300
hh_with_children,lowest_quintile,1989,7100,2200,1500,300,3100
hh_with_children,lowest_quintile,1990,7600,2600,1600,300,3200
hh_with_children,lowest_quintile,1991,8000,2800,1800,300,3100
hh_with_children,lowest_quintile,1992,7500,2900,1700,300,2600
hh_with_children,lowest_quintile,1993,8100,3100,1800,300,2900
hh_with_children,lowest_quintile,1994,8100,3000,1800,500,2700
hh_with_children,lowest_quintile,1995,7700,3000,1700,500,2500
hh_with_children,lowest_quintile,1996,6700,2700,1500,400,2100
hh_with_children,lowest_quintile,1997,5500,2500,1100,300,1500
hh_with_children,lowest_quintile,1998,6200,3200,1000,400,1600
hh_with_children,lowest_quintile,1999,6300,3600,900,300,1500
hh_with_children,lowest_quintile,2000,6300,3900,800,300,1200
hh_with_children,lowest_quintile,2001,7100,4500,900,400,1400
hh_with_children,lowest_quintile,2002,7500,4900,1000,300,1300
hh_with_children,lowest_quintile,2003,8100,5300,1200,300,1300
hh_with_children,lowest_quintile,2004,8500,5600,1400,300,1100
hh_with_children,lowest_quintile,2005,8900,5700,1500,400,1400
hh_with_children,lowest_quintile,2006,8900,5800,1500,400,1300
hh_with_children,lowest_quintile,2007,9100,5900,1500,400,1300
hh_with_children,lowest_quintile,2008,9900,6400,1700,400,1400
hh_with_children,lowest_quintile,2009,10800,6600,2400,400,1400
hh_with_children,lowest_quintile,2010,11200,6700,2700,400,1400
hh_with_children,lowest_quintile,2011,11500,6800,2900,400,1500
hh_with_children,lowest_quintile,2012,11800,7000,2900,400,1400
hh_with_children,lowest_quintile,2013,12200,7600,2800,400,1400
hh_with_children,lowest_quintile,2014,12800,8400,2500,400,1500
hh_with_children,lowest_quintile,2015,13500,9200,2500,400,1500
hh_with_children,lowest_quintile,2016,13900,9600,2400,400,1500
hh_with_children,lowest_quintile,2017,13800,9600,2300,400,1500
hh_with_children,lowest_quintile,2018,14100,10100,2000,400,1600
hh_with_children,lowest_quintile,2019,14100,10300,1800,500,1400
hh_with_children,lowest_quintile,2020,18700,10800,2600,400,4800
hh_with_children,lowest_quintile,2021,17500,10800,2800,400,3500
hh_with_children,second_quintile,1979,3500,900,600,400,1600
